"Nível";"Cód.";"";"Mês";""
"BR";"1";"Brasil";"maio 2016";"4675,2300000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2016";"4691,5900000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2016";"4715,9900000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2016";"4736,7400000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2016";"4740,5300000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2016";"4752,8600000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2016";"4761,4200000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2016";"4775,7000000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2017";"4793,8500000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2017";"4809,6700000000000";"Número-índice"
"BR";"1";"Brasil";"março 2017";"4821,6900000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2017";"4828,4400000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2017";"4843,4100000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2017";"4832,2700000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2017";"4843,8700000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2017";"4853,0700000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2017";"4860,8300000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2017";"4881,2500000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2017";"4894,9200000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2017";"4916,4600000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2018";"4930,7200000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2018";"4946,5000000000000";"Número-índice"
"BR";"1";"Brasil";"março 2018";"4950,9500000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2018";"4961,8400000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2018";"4981,6900000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2018";"5044,4600000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2018";"5061,1100000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2018";"5056,5600000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2018";"5080,8300000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2018";"5103,6900000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2018";"5092,9700000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2018";"5100,6100000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2019";"5116,9300000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2019";"5138,9300000000000";"Número-índice"
"BR";"1";"Brasil";"março 2019";"5177,4700000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2019";"5206,9800000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2019";"5213,7500000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2019";"5214,2700000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2019";"5224,1800000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2019";"5229,9300000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2019";"5227,8400000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2019";"5233,0700000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2019";"5259,7600000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2019";"5320,2500000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2020";"5331,4200000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2020";"5344,7500000000000";"Número-índice"
"BR";"1";"Brasil";"março 2020";"5348,4900000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2020";"5331,9100000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2020";"5311,6500000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2020";"5325,4600000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2020";"5344,6300000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2020";"5357,4600000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2020";"5391,7500000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2020";"5438,1200000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2020";"5486,5200000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2020";"5560,5900000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2021";"5574,4900000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2021";"5622,4300000000000";"Número-índice"
"BR";"1";"Brasil";"março 2021";"5674,7200000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2021";"5692,3100000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2021";"5739,5600000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2021";"5769,9800000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2021";"5825,3700000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2021";"5876,0500000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2021";"5944,2100000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2021";"6018,5100000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2021";"6075,6900000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2021";"6120,0400000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2022";"6153,0900000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2022";"6215,2400000000000";"Número-índice"
"BR";"1";"Brasil";"março 2022";"6315,9300000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2022";"6382,8800000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2022";"6412,8800000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2022";"6455,8500000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2022";"6411,9500000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2022";"6388,8700000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2022";"6370,3400000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2022";"6407,9300000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2022";"6434,2000000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2022";"6474,0900000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2023";"6508,4000000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2023";"6563,0700000000000";"Número-índice"
"BR";"1";"Brasil";"março 2023";"6609,6700000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2023";"6649,9900000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2023";"6665,2800000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2023";"6659,9500000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2023";"6667,9400000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2023";"6683,2800000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2023";"6700,6600000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2023";"6716,7400000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2023";"6735,5500000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2023";"6773,2700000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2024";"6801,7200000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2024";"6858,1700000000000";"Número-índice"
"BR";"1";"Brasil";"março 2024";"6869,1400000000000";"Número-índice"
"BR";"1";"Brasil";"abril 2024";"6895,2400000000000";"Número-índice"
"BR";"1";"Brasil";"maio 2024";"6926,9600000000000";"Número-índice"
"BR";"1";"Brasil";"junho 2024";"6941,5100000000000";"Número-índice"
"BR";"1";"Brasil";"julho 2024";"6967,8900000000000";"Número-índice"
"BR";"1";"Brasil";"agosto 2024";"6966,5000000000000";"Número-índice"
"BR";"1";"Brasil";"setembro 2024";"6997,1500000000000";"Número-índice"
"BR";"1";"Brasil";"outubro 2024";"7036,3300000000000";"Número-índice"
"BR";"1";"Brasil";"novembro 2024";"7063,7700000000000";"Número-índice"
"BR";"1";"Brasil";"dezembro 2024";"7100,5000000000000";"Número-índice"
"BR";"1";"Brasil";"janeiro 2025";"7111,8600000000000";"Número-índice"
"BR";"1";"Brasil";"fevereiro 2025";"7205,0300000000000";"Número-índice"
"BR";"1";"Brasil";"março 2025";"7245,3800000000000";"Número-índice"
